Entity	Class	Table	Property	Columns	Type	Kind
NetCity.Integration.FoodPayModule.Model.FoodPayBalance	NetCity.Integration.FoodPayModule.Model.FoodPayBalance	FOODPAY_BALANCE	Schoolyear	SCHOOLYEARID	NetCity.Common.ObjectModel.Nhibernate.Schoolyear	many-to-one
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	Id	ID	Int32	id
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	NumMonth	NUMMONTH	Int32	property
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	StartMonth	STARTMONTH	DateTime	property
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	CreatedAt	CREATED_AT	DateTime	property
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	BreakfastCount	BREAKFASTCOUNT	Int32	property
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	LunchCount	LUNCHCOUNT	Int32	property
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	SnackCount	SNACKCOUNT	Int32	property
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	Benefit	BENEFIT	Decimal	property
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	Balance	BALANCE	Decimal	property
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	ToPay	TOPAY	Decimal	property
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	Student	STUDENTID	NetCity.Common.ObjectModel.Nhibernate.Users.Student	many-to-one
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	Schoolyear	SCHOOLYEARID	NetCity.Common.ObjectModel.Nhibernate.Schoolyear	many-to-one
NetCity.Integration.FoodPayModule.Model.FoodPayDocument	NetCity.Integration.FoodPayModule.Model.FoodPayDocument	FOODPAY_PAYDOCUMENTS	PayNorm	PAYNORMID	NetCity.Integration.FoodPayModule.Model.FoodPayNorm	many-to-one
NetCity.Integration.FoodPayModule.Model.FoodPayNorm	NetCity.Integration.FoodPayModule.Model.FoodPayNorm	FOODPAY_PAYNORMS	Id	ID	Int32	id
NetCity.Integration.FoodPayModule.Model.FoodPayNorm	NetCity.Integration.FoodPayModule.Model.FoodPayNorm	FOODPAY_PAYNORMS	StartDate	STARTDATE	DateTime	property
NetCity.Integration.FoodPayModule.Model.FoodPayNorm	NetCity.Integration.FoodPayModule.Model.FoodPayNorm	FOODPAY_PAYNORMS	Reason	REASON	AnsiString	property
NetCity.Integration.FoodPayModule.Model.FoodPayNorm	NetCity.Integration.FoodPayModule.Model.FoodPayNorm	FOODPAY_PAYNORMS	BreakfastCost	BREAKFASTCOST	Decimal	property
NetCity.Integration.FoodPayModule.Model.FoodPayNorm	NetCity.Integration.FoodPayModule.Model.FoodPayNorm	FOODPAY_PAYNORMS	LunchCost	LUNCHCOST	Decimal	property
NetCity.Integration.FoodPayModule.Model.FoodPayNorm	NetCity.Integration.FoodPayModule.Model.FoodPayNorm	FOODPAY_PAYNORMS	SnackCost	SNACKCOST	Decimal	property
NetCity.Integration.FoodPayModule.Model.FoodPayNorm	NetCity.Integration.FoodPayModule.Model.FoodPayNorm	FOODPAY_PAYNORMS	School	SCHOOLID	NetCity.Common.ObjectModel.Nhibernate.Organizations.School	many-to-one
NetCity.Integration.FoodPayModule.Model.SchoolOrder	NetCity.Integration.FoodPayModule.Model.SchoolOrder	FOODPAY_SCHOOLORDERS	Id	ID	Int32	id
NetCity.Integration.FoodPayModule.Model.SchoolOrder	NetCity.Integration.FoodPayModule.Model.SchoolOrder	FOODPAY_SCHOOLORDERS	StudentOrders		System.Collections.Generic.ISet`1[[NetCity.Integration.FoodPayModule.Model.StudentOrder, NetCity.Integration.FoodPayModule, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=null]](NetCity.Integration.FoodPayModule.Model.SchoolOrder.StudentOrders)	collection
NetCity.Integration.FoodPayModule.Model.SchoolOrder	NetCity.Integration.FoodPayModule.Model.SchoolOrder	FOODPAY_SCHOOLORDERS	Day	DAY	DateTime	property
NetCity.Integration.FoodPayModule.Model.SchoolOrder	NetCity.Integration.FoodPayModule.Model.SchoolOrder	FOODPAY_SCHOOLORDERS	ApprovedAt	APPROVED_AT	DateTime	property
NetCity.Integration.FoodPayModule.Model.SchoolOrder	NetCity.Integration.FoodPayModule.Model.SchoolOrder	FOODPAY_SCHOOLORDERS	School	SCHOOLID	NetCity.Common.ObjectModel.Nhibernate.Organizations.School	many-to-one
NetCity.Integration.FoodPayModule.Model.SchoolOrder	NetCity.Integration.FoodPayModule.Model.SchoolOrder	FOODPAY_SCHOOLORDERS	ApprovedBy	APPROVED_BY	NetCity.Common.ObjectModel.Nhibernate.Users.User	many-to-one
NetCity.Integration.FoodPayModule.Model.StudentOrder	NetCity.Integration.FoodPayModule.Model.StudentOrder	FOODPAY_STUDENTORDERS	Id	ID	Int32	id
NetCity.Integration.FoodPayModule.Model.StudentOrder	NetCity.Integration.FoodPayModule.Model.StudentOrder	FOODPAY_STUDENTORDERS	Breakfast	BREAKFAST	Boolean	property
NetCity.Integration.FoodPayModule.Model.StudentOrder	NetCity.Integration.FoodPayModule.Model.StudentOrder	FOODPAY_STUDENTORDERS	Lunch	LUNCH	Boolean	property
NetCity.Integration.FoodPayModule.Model.StudentOrder	NetCity.Integration.FoodPayModule.Model.StudentOrder	FOODPAY_STUDENTORDERS	Snack	SNACK	Boolean	property
NetCity.Integration.FoodPayModule.Model.StudentOrder	NetCity.Integration.FoodPayModule.Model.StudentOrder	FOODPAY_STUDENTORDERS	CreatedAt	CREATED_AT	DateTime	property
NetCity.Integration.FoodPayModule.Model.StudentOrder	NetCity.Integration.FoodPayModule.Model.StudentOrder	FOODPAY_STUDENTORDERS	SchoolOrder	SCHOOLORDERID	NetCity.Integration.FoodPayModule.Model.SchoolOrder	many-to-one
NetCity.Integration.FoodPayModule.Model.StudentOrder	NetCity.Integration.FoodPayModule.Model.StudentOrder	FOODPAY_STUDENTORDERS	Student	STUDENTID	NetCity.Common.ObjectModel.Nhibernate.Users.Student	many-to-one
NetCity.Integration.FoodPayModule.Model.StudentOrder	NetCity.Integration.FoodPayModule.Model.StudentOrder	FOODPAY_STUDENTORDERS	CreatedBy	CREATED_BY	NetCity.Common.ObjectModel.Nhibernate.Users.User	many-to-one
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	Id	ID	Int32	id
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	LastName	LASTNAME	String	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	FirstName	FIRSTNAME	String	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	MiddleName	MIDDLENAME	String	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	BirthDate	BIRTHDATE	DateTime	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	Gender	GENDER	GenderMap	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	IdentityDocument	IDENTITYDOCUMENT	String	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	UserId	USERID	Int32	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	SmevMessageId	SMEVMESSAGEID	Guid	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	Snils	SNILS	String	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	Status	STATUS	Int32	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	SchoolId	SCHOOLID	Int32	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	RequestTime	REQUESTTIME	DateTime	property
NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	NetCity.Integration.PfrModule.Domain.PfrSnilsRequest	PFR_SNILS_REQUESTS	ResponseTime	RESPONSETIME	DateTime	property
NetCity.Integration.SchoolFood.Models.SchoolFoodUser	NetCity.Integration.SchoolFood.Models.SchoolFoodUser	SCHOOLFOOD_USERSACCESS	Id	ID	Int32	id
NetCity.Integration.SchoolFood.Models.SchoolFoodUser	NetCity.Integration.SchoolFood.Models.SchoolFoodUser	SCHOOLFOOD_USERSACCESS	User	USERID	NetCity.Common.ObjectModel.Nhibernate.Users.User	many-to-one
NetCity.Integration.SchoolFood.Models.SchoolFoodUser	NetCity.Integration.SchoolFood.Models.SchoolFoodUser	SCHOOLFOOD_USERSACCESS	School	SCHOOLID	NetCity.Common.ObjectModel.Nhibernate.Organizations.School	many-to-one
NetCity.Common.ObjectModel.Nhibernate.AddSchool.AddActivityType	NetCity.Common.ObjectModel.Nhibernate.AddSchool.AddActivityType	ADDACTIVITYTYPES	Id	TYPEID	Int32	id
NetCity.Common.ObjectModel.Nhibernate.AddSchool.AddActivityType	NetCity.Common.ObjectModel.Nhibernate.AddSchool.AddActivityType	ADDACTIVITYTYPES	AddPrograms		System.Collections.Generic.ISet`1[[NetCity.Common.ObjectModel.Nhibernate.AddProgram, NetCity.Common.ObjectModel, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=ea3eeeb5c070719f]](NetCity.Common.ObjectModel.Nhibernate.AddSchool.AddActivityType.AddPrograms)	collection
NetCity.Common.ObjectModel.Nhibernate.AddSchool.AddActivityType	NetCity.Common.ObjectModel.Nhibernate.AddSchool.AddActivityType	ADDACTIVITYTYPES	Name	TYPENAME	AnsiString	property
NetCity.Common.ObjectModel.Nhibernate.AddSchool.AddActivityType	NetCity.Common.ObjectModel.Nhibernate.AddSchool.AddActivityType	ADDACTIVITYTYPES	Guid	TYPEUUID	Guid	property
NetCity.Common.ObjectModel.Nhibernate.AddSchool.AddActivityType	NetCity.Common.ObjectModel.Nhibernate.AddSchool.AddActivityType	ADDACTIVITYTYPES	ProgDirection	DIRECTIONID	NetCity.Common.ObjectModel.Nhibernate.ProgDirection	many-to-one
NetCity.Common.ObjectModel.Nhibernate.AddProgramType	NetCity.Common.ObjectModel.Nhibernate.AddProgramType	ADDPROGRAMTYPES	Id	ADDPROGRAMTYPEID	Int32	id
NetCity.Common.ObjectModel.Nhibernate.AddProgramType	NetCity.Common.ObjectModel.Nhibernate.AddProgramType	ADDPROGRAMTYPES	AddPrograms		System.Collections.Generic.ISet`1[[NetCity.Common.ObjectModel.Nhibernate.AddProgram, NetCity.Common.ObjectModel, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=ea3eeeb5c070719f]](NetCity.Common.ObjectModel.Nhibernate.AddProgramType.AddPrograms)	collection
NetCity.Common.ObjectModel.Nhibernate.AddProgramType	NetCity.Common.ObjectModel.Nhibernate.AddProgramType	ADDPROGRAMTYPES	Name	ADDPROGRAMTYPENAME	AnsiString	property
NetCity.Common.ObjectModel.Nhibernate.Address.Address	NetCity.Common.ObjectModel.Nhibernate.Address.Address	ADDRESSES	Id	ADDRESSID	Int32	id
NetCity.Common.ObjectModel.Nhibernate.Address.Address	NetCity.Common.ObjectModel.Nhibernate.Address.Address	ADDRESSES	UserAddresses		System.Collections.Generic.ISet`1[[NetCity.Common.ObjectModel.Nhibernate.Address.UserAddress, NetCity.Common.ObjectModel, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=ea3eeeb5c070719f]](NetCity.Common.ObjectModel.Nhibernate.Address.Address.UserAddresses)	collection
NetCity.Common.ObjectModel.Nhibernate.Address.Address	NetCity.Common.ObjectModel.Nhibernate.Address.Address	ADDRESSES	SchoolAddresses		System.Collections.Generic.ISet`1[[NetCity.Common.ObjectModel.Nhibernate.Address.SchoolAddress, NetCity.Common.ObjectModel, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=ea3eeeb5c070719f]](NetCity.Common.ObjectModel.Nhibernate.Address.Address.SchoolAddresses)	collection
NetCity.Common.ObjectModel.Nhibernate.Address.Address	NetCity.Common.ObjectModel.Nhibernate.Address.Address	ADDRESSES	House	HOUSE	AnsiString	property
NetCity.Common.ObjectModel.Nhibernate.Address.Address	NetCity.Common.ObjectModel.Nhibernate.Address.Address	ADDRESSES	Corp	CORP	AnsiString	property
NetCity.Common.ObjectModel.Nhibernate.Address.Address	NetCity.Common.ObjectModel.Nhibernate.Address.Address	ADDRESSES	Struc	STRUC	AnsiString	property
NetCity.Common.ObjectModel.Nhibernate.Address.Address	NetCity.Common.ObjectModel.Nhibernate.Address.Address	ADDRESSES	Room	ROOM	AnsiString	property
NetCity.Common.ObjectModel.Nhibernate.Address.Address	NetCity.Common.ObjectModel.Nhibernate.Address.Address	ADDRESSES	Fias	FiasId	Guid	property
NetCity.Common.ObjectModel.Nhibernate.Address.Address	NetCity.Common.ObjectModel.Nhibernate.Address.Address	ADDRESSES	Location	LOCATIONID	NetCity.Common.ObjectModel.Nhibernate.Address.Location	many-to-one
NetCity.Common.ObjectModel.Nhibernate.Address.Address	NetCity.Common.ObjectModel.Nhibernate.Address.Address	ADDRESSES	District	DISTRICTID	NetCity.Common.ObjectModel.Nhibernate.Address.District	many-to-one
NetCity.Common.ObjectModel.Nhibernate.Address.AtoType	NetCity.Common.ObjectModel.Nhibernate.Address.AtoType	ATO_TYPES	Id	ATO_TYPEID	Int32	id
NetCity.Common.ObjectModel.Nhibernate.Address.AtoType	NetCity.Common.ObjectModel.Nhibernate.Address.AtoType	ATO_TYPES	Name	FULLNAME	AnsiString	property
NetCity.Common.ObjectModel.Nhibernate.Address.AtoType	NetCity.Common.ObjectModel.Nhibernate.Address.AtoType	ATO_TYPES	ShortName	SHORTNAME	AnsiString	property
NetCity.Common.ObjectModel.Nhibernate.Address.AtoType	NetCity.Common.ObjectModel.Nhibernate.Address.AtoType	ATO_TYPES	Level	LEVELABBR	Int32	property
NetCity.Common.ObjectModel.Nhibernate.Address.City	NetCity.Common.ObjectModel.Nhibernate.Address.City	CITIES	Id	CITYID	Int32	id
NetCity.Common.ObjectModel.Nhibernate.Address.City	NetCity.Common.ObjectModel.Nhibernate.Address.City	CITIES	Cities		System.Collections.Generic.ISet`1[[NetCity.Common.ObjectModel.Nhibernate.Address.City, NetCity.Common.ObjectModel, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=ea3eeeb5c070719f]](NetCity.Common.ObjectModel.Nhibernate.Address.City.Cities)	collection
NetCity.Common.ObjectModel.Nhibernate.Address.City	NetCity.Common.ObjectModel.Nhibernate.Address.City	CITIES	Districts		System.Collections.Generic.ISet`1[[NetCity.Common.ObjectModel.Nhibernate.Address.District, NetCity.Common.ObjectModel, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=ea3eeeb5c070719f]](NetCity.Common.ObjectModel.Nhibernate.Address.City.Districts)	collection
NetCity.Common.ObjectModel.Nhibernate.Address.City	NetCity.Common.ObjectModel.Nhibernate.Address.City	CITIES	Locations		System.Collections.Generic.ISet`1[[NetCity.Common.ObjectModel.Nhibernate.Address.Location, NetCity.Common.ObjectModel, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=ea3eeeb5c070719f]](NetCity.Common.ObjectModel.Nhibernate.Address.City.Locations)	collection
NetCity.Common.ObjectModel.Nhibernate.Address.City	NetCity.Common.ObjectModel.Nhibernate.Address.City	CITIES	Schools		System.Collections.Generic.ISet`1[[NetCity.Common.ObjectModel.Nhibernate.Organizations.School, NetCity.Common.ObjectModel, Version=5.14.65351.225, Culture=neutral, PublicKeyToken=ea3eeeb5c070719f]](NetCity.Common.ObjectModel.Nhibernate.Address.City.Schools)	collection
